date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:00	23138/23138	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:42:59%20GMT	https://www.robs-mvm.com/	C:/users/termz/www.robs-mvm.com/index.html	(from )
06:43:00	22270/22270	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:42:59%20GMT	https://www.robs-mvm.com/contact	C:/users/termz/www.robs-mvm.com/contact.html	(from )
06:43:00	18412/18412	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:00%20GMT	https://www.robs-mvm.com/order	C:/users/termz/www.robs-mvm.com/order.html	(from )
06:43:00	18502/18502	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:00%20GMT	https://www.robs-mvm.com/trackOrder	C:/users/termz/www.robs-mvm.com/trackOrder.html	(from )
06:43:00	28276/28276	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:00%20GMT	https://www.robs-mvm.com/project/1	C:/users/termz/www.robs-mvm.com/project/1.html	(from )
06:43:00	28303/28303	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:00%20GMT	https://www.robs-mvm.com/project/2	C:/users/termz/www.robs-mvm.com/project/2.html	(from )
06:43:01	24854/24854	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:00%20GMT	https://www.robs-mvm.com/project/3	C:/users/termz/www.robs-mvm.com/project/3.html	(from )
06:43:01	24420/24420	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:01%20GMT	https://www.robs-mvm.com/project/4	C:/users/termz/www.robs-mvm.com/project/4.html	(from )
06:43:01	24359/24359	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:01%20GMT	https://www.robs-mvm.com/project/5	C:/users/termz/www.robs-mvm.com/project/5.html	(from )
06:43:01	24212/24212	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:01%20GMT	https://www.robs-mvm.com/project/6	C:/users/termz/www.robs-mvm.com/project/6.html	(from )
06:43:02	20557/20557	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2011:43:01%20GMT	https://www.robs-mvm.com/about	C:/users/termz/www.robs-mvm.com/about.html	(from )
06:43:02	17792/17792	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Oct%202023%2011:43:01%20GMT	https://www.robs-mvm.com/robots.txt		(from )
06:43:02	6232/6232	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2012:41:24%20GMT	https://www.robs-mvm.com/assets/images/Robs_logo_white.png	C:/users/termz/www.robs-mvm.com/assets/images/Robs_logo_white.png	(from https://www.robs-mvm.com/)
